dataset,mincoh,minsize,minsup,iterations,itemsets,time(ms),customtime,cellsize,eps,repartition,disabledpruning,storagethr,nexecutor,ncore,maxram,weeklyscale,timebucketthreshold,totalcells
geolife,0.0,5,5,69842,16026,16131, 18018,10,2.0,1,true,10000000,9,3,12g,DailyScale,1.0,18397
geolife,0.0,5,5,82265,20412,16838, 18611,10,2.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,5,5,157708,58034,26738, 29299,10,2.0,1,true,10000000,9,3,12g,DailyScale,Infinity,18397
geolife,0.0,5,5,90812,25699,16832, 37891,10,5.0,1,true,10000000,9,3,12g,DailyScale,1.0,18397
geolife,0.0,5,5,106288,31575,18883, 35449,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,5,5,193482,76401,26165, 43712,10,5.0,1,true,10000000,9,3,12g,DailyScale,Infinity,18397
geolife,0.0,5,5,102934,32104,19910, 38920,10,10.0,1,true,10000000,9,3,12g,DailyScale,1.0,18397
geolife,0.0,5,5,119819,38554,21586, 37391,10,10.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,5,5,211347,85147,32318, 48423,10,10.0,1,true,10000000,9,3,12g,DailyScale,Infinity,18397
geolife,0.0,5,5,105658,33232,22363, 37911,10,Infinity,1,true,10000000,9,3,12g,DailyScale,1.0,18397
geolife,0.0,5,5,122635,39699,24740, 41435,10,Infinity,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,5,5,213376,86370,14344, 30995,10,Infinity,1,true,10000000,9,3,12g,DailyScale,Infinity,18397
geolife,0.0,5,5,69139,32879,13355, 15196,10,2.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,8177
geolife,0.0,5,5,69138,32879,14111, 16065,10,2.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,8177
geolife,0.0,5,5,69138,32879,14702, 17023,10,2.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,8177
geolife,0.0,5,5,154309,83889,11888, 36627,10,5.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,8177
geolife,0.0,5,5,154307,83889,14212, 38875,10,5.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,8177
geolife,0.0,5,5,154307,83889,12803, 37357,10,5.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,8177
geolife,0.0,5,5,201247,106646,13429, 30628,10,10.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,8177
geolife,0.0,5,5,201244,106646,15092, 31568,10,10.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,8177
geolife,0.0,5,5,201244,106646,14446, 32091,10,10.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,8177
geolife,0.0,5,5,210227,111050,19463, 40685,10,Infinity,1,true,10000000,9,3,12g,WeeklyScale,1.0,8177
geolife,0.0,5,5,210153,111050,20975, 37544,10,Infinity,1,true,10000000,9,3,12g,WeeklyScale,2.0,8177
geolife,0.0,5,5,210152,111050,9768, 26181,10,Infinity,1,true,10000000,9,3,12g,WeeklyScale,Infinity,8177
geolife,0.0,5,5,124883,100963,16991, 54049,10,2.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,1674
geolife,0.0,5,5,720643,630604,18806, 49199,10,5.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,1674
geolife,0.0,5,5,1153850,967803,26443, 50363,10,10.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,1674
geolife,0.0,5,5,1273102,1050958,17576, 40733,10,Infinity,1,true,10000000,9,3,12g,NoTimeScale,Infinity,1674
geolife,0.0,5,5,14549,1871,5770, 7678,50,2.0,1,true,10000000,9,3,12g,DailyScale,1.0,1663
geolife,0.0,5,5,27740,7719,8863, 10879,50,2.0,1,true,10000000,9,3,12g,DailyScale,2.0,1663
geolife,0.0,5,5,145079,82220,8612, 11024,50,2.0,1,true,10000000,9,3,12g,DailyScale,Infinity,1663
geolife,0.0,5,5,16545,2041,5789, 18752,50,5.0,1,true,10000000,9,3,12g,DailyScale,1.0,1663
geolife,0.0,5,5,30566,7927,9217, 27496,50,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,1663
geolife,0.0,5,5,148879,82563,9067, 27243,50,5.0,1,true,10000000,9,3,12g,DailyScale,Infinity,1663
geolife,0.0,5,5,16579,2043,5770, 17957,50,10.0,1,true,10000000,9,3,12g,DailyScale,1.0,1663
geolife,0.0,5,5,30620,7930,10087, 28334,50,10.0,1,true,10000000,9,3,12g,DailyScale,2.0,1663
geolife,0.0,5,5,146002,82571,9977, 28259,50,10.0,1,true,10000000,9,3,12g,DailyScale,Infinity,1663
geolife,0.0,5,5,16579,2043,5790, 17432,50,Infinity,1,true,10000000,9,3,12g,DailyScale,1.0,1663
geolife,0.0,5,5,30620,7930,8142, 32649,50,Infinity,1,true,10000000,9,3,12g,DailyScale,2.0,1663
geolife,0.0,5,5,145999,82571,8473, 32912,50,Infinity,1,true,10000000,9,3,12g,DailyScale,Infinity,1663
geolife,0.0,5,5,6662,1442,2224, 4840,50,2.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,605
geolife,0.0,5,5,6662,1442,2317, 4276,50,2.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,605
geolife,0.0,5,5,6662,1442,2260, 4683,50,2.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,605
geolife,0.0,5,5,9171,1784,3893, 12175,50,5.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,605
geolife,0.0,5,5,9166,1784,2852, 11231,50,5.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,605
geolife,0.0,5,5,9165,1784,3541, 11731,50,5.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,605
geolife,0.0,5,5,8910,1785,3025, 14179,50,10.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,605
geolife,0.0,5,5,8864,1785,3542, 15368,50,10.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,605
geolife,0.0,5,5,8861,1785,3017, 14745,50,10.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,605
geolife,0.0,5,5,8909,1785,3167, 14837,50,Infinity,1,true,10000000,9,3,12g,WeeklyScale,1.0,605
geolife,0.0,5,5,8863,1785,1604, 9911,50,Infinity,1,true,10000000,9,3,12g,WeeklyScale,2.0,605
geolife,0.0,5,5,8860,1785,1919, 10335,50,Infinity,1,true,10000000,9,3,12g,WeeklyScale,Infinity,605
geolife,0.0,5,5,5307,3547,2355, 16373,50,2.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,90
