time(ms),brdneighborhoodbytes,brdtrajincellbytes,ntransactions,intable,minsize,minsup,nitemsets,storagethr,repfreq,limit,nexecutors,ncores,maxram,timescale,bint,epst,bins,epss,exploredpatterns,exploredpatterns2,accmlen,accmcrd,accmsup,semf
259008,0,6341186,359,trajectory.milan_standard,100,12,2290,1000000,1,8000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,10198458,608770786,0.0,0.0,0.0,
64482,0,1413250,60,trajectory.milan_standard,100,12,521062,1000000,1,8000000,10,2,8g,NoScale,1,Infinity,16,Infinity,5767220,41545601,0.0,0.0,0.0,
265460,0,6341186,359,trajectory.milan_standard,100,12,2290,1000000,1,8000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,10198458,608770786,0.0,0.0,0.0,
44797,1496,1413250,60,trajectory.milan_standard,100,12,194273,1000000,1,8000000,10,2,8g,NoScale,1,Infinity,16,1.0,3176311,32537537,0.0,0.0,0.0,
423450,0,6341684,360,trajectory.milan_standard,75,12,20449,1000000,1,8000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,21716656,1224146551,0.0,0.0,0.0,
931423,0,6341684,360,trajectory.milan_standard,50,12,309316,1000000,1,8000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,64100540,3331593275,0.0,0.0,0.0,
190811,0,5561282,358,trajectory.milan_standard,100,12,509,1000000,1,7000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,7280596,445141560,0.0,0.0,0.0,
49466,0,1245194,60,trajectory.milan_standard,100,12,351215,1000000,1,7000000,10,2,8g,NoScale,1,Infinity,16,Infinity,4478614,33185951,0.0,0.0,0.0,
184859,0,5561282,358,trajectory.milan_standard,100,12,509,1000000,1,7000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,7280596,445141560,0.0,0.0,0.0,
37589,1496,1245194,60,trajectory.milan_standard,100,12,139142,1000000,1,7000000,10,2,8g,NoScale,1,Infinity,16,1.0,2520627,26307140,0.0,0.0,0.0,
297270,0,5562040,359,trajectory.milan_standard,75,12,5743,1000000,1,7000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,15373854,887867846,0.0,0.0,0.0,
637895,0,5562412,360,trajectory.milan_standard,50,12,111911,1000000,1,7000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,44937524,2391266556,0.0,0.0,0.0,
127731,0,4756880,357,trajectory.milan_standard,100,12,124,1000000,1,6000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,4607230,296912796,0.0,0.0,0.0,
1468902,0,4758396,360,trajectory.milan_standard,25,12,4499204,1000000,1,6000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,150355548,7617583142,0.0,0.0,0.0,
334724,0,14620284,360,trajectory.milan_standard,100,6,4964195,1000000,1,6000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,7414440,465845674,0.0,0.0,0.0,
22534,0,2403572,352,trajectory.milan_standard,100,12,0,1000000,1,3000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,870465,62028929,0.0,0.0,0.0,
9860,0,1213822,340,trajectory.milan_standard,100,12,0,1000000,1,1500000,10,2,8g,DailyScale,4,Infinity,16,Infinity,222792,16311995,0.0,0.0,0.0,
141818,0,4756880,357,trajectory.milan_standard,100,12,124,1000000,1,6000000,10,2,2g,DailyScale,4,Infinity,16,Infinity,4681024,302085323,0.0,0.0,0.0,
44432,0,1071410,60,trajectory.milan_standard,100,12,229980,1000000,1,6000000,10,2,8g,NoScale,1,Infinity,16,Infinity,3368744,25964250,0.0,0.0,0.0,
124627,0,4756880,357,trajectory.milan_standard,100,12,124,1000000,1,6000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,4607230,296912796,0.0,0.0,0.0,
30540,1496,1071410,60,trajectory.milan_standard,100,12,96825,1000000,1,6000000,10,2,8g,NoScale,1,Infinity,16,1.0,1959677,20977047,0.0,0.0,0.0,
186751,0,4757530,358,trajectory.milan_standard,75,12,1499,1000000,1,6000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,9528967,582973285,0.0,0.0,0.0,
398929,0,4758396,360,trajectory.milan_standard,50,12,34385,1000000,1,6000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,26864317,1528425847,0.0,0.0,0.0,
1543653,0,4758396,360,trajectory.milan_standard,25,12,4499204,1000000,1,6000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,150355548,7617583142,0.0,0.0,0.0,
148742,0,6755560,359,trajectory.milan_standard,100,10,22809,1000000,1,6000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,4841883,315009174,0.0,0.0,0.0,
180263,0,9841696,359,trajectory.milan_standard,100,8,483343,1000000,1,6000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,4954116,324524881,0.0,0.0,0.0,
364279,0,14620284,360,trajectory.milan_standard,100,6,4964195,1000000,1,6000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,7414440,465845674,0.0,0.0,0.0,
288876,0,6052036,534,trajectory.milan_standard,100,12,247,1000000,1,6000000,10,2,8g,DailyScale,4,Infinity,14,Infinity,8637586,955852484,0.0,0.0,0.0,
399587,0,7807152,679,trajectory.milan_standard,100,12,682,1000000,1,6000000,10,2,8g,DailyScale,4,Infinity,12,Infinity,10196040,1380207503,0.0,0.0,0.0,
647431,0,9865792,873,trajectory.milan_standard,100,12,3393,1000000,1,6000000,10,2,8g,DailyScale,4,Infinity,10,Infinity,13312798,2000945320,0.0,0.0,0.0,
23353,0,2403572,352,trajectory.milan_standard,100,12,0,1000000,1,3000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,870465,62028929,0.0,0.0,0.0,
11290,0,1213822,340,trajectory.milan_standard,100,12,0,1000000,1,1500000,10,2,8g,DailyScale,4,Infinity,16,Infinity,222792,16311995,0.0,0.0,0.0,
849180,0,4756880,357,trajectory.milan_standard,100,12,124,1000000,1,6000000,1,2,8g,DailyScale,4,Infinity,16,Infinity,4607230,296912796,0.0,0.0,0.0,
297257,0,4756880,357,trajectory.milan_standard,100,12,124,1000000,1,6000000,3,2,8g,DailyScale,4,Infinity,16,Infinity,4607230,296912796,0.0,0.0,0.0,
172942,0,4756880,357,trajectory.milan_standard,100,12,124,1000000,1,6000000,6,2,8g,DailyScale,4,Infinity,16,Infinity,4607230,296912796,0.0,0.0,0.0,
