time(ms),intable,minsize,minsup,nitemsets,repfreq,limit,nexecutors,ncores,maxram,timescale,bint,epst,bins,epss,semf
293507,trajectory.hermopoulis_standard1_200,10,20,240828256,1,1000000,10,2,8g,absolute,60,Infinity,19,Infinity,
970417,trajectory.hermopoulis_standard1_200,10,19,638572748,1,1000000,10,2,8g,absolute,60,Infinity,19,Infinity,
2697742,trajectory.hermopoulis_standard1_200,10,18,1819299840,1,1000000,10,2,8g,absolute,60,Infinity,19,Infinity,
7219749,trajectory.hermopoulis_standard1_200,10,17,5665424404,1,1000000,10,2,8g,absolute,60,Infinity,19,Infinity,
9600000,trajectory.hermopoulis_standard1_200,10,16,5665424404,1,1000000,10,2,8g,absolute,60,Infinity,19,Infinity,
4841,trajectory.oldenburg_standard_2000_distinct,10,35,26464,1,1000000,10,2,8g,absolute,1,Infinity,20,Infinity,
3602,trajectory.oldenburg_standard_2000_distinct,10,34,33488,1,1000000,10,2,8g,absolute,1,Infinity,20,Infinity,

3577,trajectory.oldenburg_standard_2000_distinct,10,35,26464,1,1000000,10,2,8g,absolute,1,Infinity,20,Infinity,
3696,trajectory.oldenburg_standard_2000_distinct,10,34,33488,1,1000000,10,2,8g,absolute,1,Infinity,20,Infinity,
15090,trajectory.oldenburg_standard_2000_distinct,10,25,7259824,1,1000000,10,2,8g,absolute,1,Infinity,20,Infinity,
3710,trajectory.oldenburg_standard_2000_distinct,10,33,45049,1,1000000,10,2,8g,absolute,1,Infinity,20,Infinity,
3843,trajectory.oldenburg_standard_2000_distinct,10,32,60238,1,1000000,10,2,8g,absolute,1,Infinity,20,Infinity,
3718,trajectory.oldenburg_standard_2000_distinct,10,31,85434,1,1000000,10,2,8g,absolute,1,Infinity,20,Infinity,
3844,trajectory.oldenburg_standard_2000_distinct,10,30,120640,1,1000000,10,2,8g,absolute,1,Infinity,20,Infinity,
3941,trajectory.oldenburg_standard_2000_distinct,10,29,160633,1,1000000,10,2,8g,absolute,1,Infinity,20,Infinity,
4260,trajectory.oldenburg_standard_2000_distinct,10,28,160799,1,1000000,10,2,8g,absolute,1,Infinity,20,Infinity,
4716,trajectory.oldenburg_standard_2000_distinct,10,27,838625,1,1000000,10,2,8g,absolute,1,Infinity,20,Infinity,
5141,trajectory.oldenburg_standard_2000_distinct,10,26,1578723,1,1000000,10,2,8g,absolute,1,Infinity,20,Infinity,
12867,trajectory.oldenburg_standard_2000_distinct,10,25,7259824,1,1000000,10,2,8g,absolute,1,Infinity,20,Infinity,
47999,trajectory.oldenburg_standard_2000_distinct,10,24,27329578,1,1000000,10,2,8g,absolute,1,Infinity,20,Infinity,
114979,trajectory.oldenburg_standard_2000_distinct,10,23,65750896,1,1000000,10,2,8g,absolute,1,Infinity,20,Infinity,
